date,Kabupaten,Rainfall_mm
2014-12-05,Bandung,13.48121166
2014-12-06,Bandung,10.8107729
2014-12-07,Bandung,7.590874672
2014-12-08,Bandung,6.291786432
2014-12-09,Bandung,8.160632372
2014-12-10,Bandung,9.067028046
2014-12-11,Bandung,0.9141512811
2014-12-12,Bandung,1.570290864
2014-12-13,Bandung,1.326280653
2014-12-14,Bandung,5.423053622
2014-12-15,Bandung,16.49772692
2014-12-16,Bandung,13.40231895
2014-12-17,Bandung,11.99565411
2014-12-18,Bandung,51.27241516
2014-12-19,Bandung,25.86385059
2014-12-20,Bandung,21.63278246
2014-12-21,Bandung,24.769701
2014-12-22,Bandung,27.35040379
2014-12-23,Bandung,23.42143106
2014-12-24,Bandung,38.70717716
2014-12-25,Bandung,30.98225784
2014-12-26,Bandung,5.976065397
2014-12-27,Bandung,22.73842907
2014-12-28,Bandung,21.04627562
2014-12-29,Bandung,1.125668228
2014-12-30,Bandung,2.053288758
2014-12-31,Bandung,1.195946574
2015-01-01,Bandung,1.002682239
2015-01-02,Bandung,9.683439732
2015-01-03,Bandung,3.902076244
2015-01-04,Bandung,0.7618667185
2015-01-05,Bandung,1.864582658
2015-01-06,Bandung,17.2835083
2015-01-07,Bandung,1.817117035
2015-01-08,Bandung,0.4324598014
2015-01-09,Bandung,0.8065206707
2015-01-10,Bandung,0.05121711642
2015-01-11,Bandung,0.05155964009
2015-01-12,Bandung,3.496987939
2015-01-13,Bandung,5.472134829
2015-01-14,Bandung,3.459924102
2015-01-15,Bandung,1.360975027
2015-01-16,Bandung,0.4338296056
2015-01-17,Bandung,0.5843651891
2015-01-18,Bandung,2.154966116
2015-01-19,Bandung,6.009394169
2015-01-20,Bandung,19.05214262
2015-01-21,Bandung,13.96015692
2015-01-22,Bandung,33.33721447
2015-01-23,Bandung,1.047941029
2015-01-24,Bandung,5.781310558
2015-01-25,Bandung,74.49649429
2015-01-26,Bandung,8.703626633
2015-01-27,Bandung,2.360578716
2015-01-28,Bandung,15.76110935
2015-01-29,Bandung,2.65911305
