date,Kabupaten,ERA5_LST_Mean,ERA5_LST_Max,ERA5_LST_Percentile95,ERA5_Cloud_Cover_Percentage,ERA5_Max_Lon,ERA5_Max_Lat
2014-01-02,Kota Cirebon,25.496840130841292,26.57941843668624,26.57128041585287,0,,
2014-01-02,Kota Sukabumi,23.948801606620876,25.20873158772787,24.29694773356124,0,,
2014-01-02,Kuningan,24.866590568635704,26.56468861897787,26.22460072835287,0,,
2014-01-02,Majalengka,24.690249406072727,27.35521596272787,26.518464660644554,0,,
2014-01-02,Purwakarta,25.025665852580246,26.696199035644554,26.38361765543624,0,,
2014-01-02,Subang,25.681255484433525,27.46922963460287,27.46922963460287,0,,
2014-01-02,Sukabumi,24.616711725008013,26.761872863769554,26.21654408772787,0,,
2014-01-02,Sumedang,23.901949992371048,25.82298940022787,25.36896921793624,0,,
2014-01-02,Kota Bekasi,26.686516390027297,26.91625111897787,26.91625111897787,0,,
2014-01-02,Kota Depok,26.33445956606577,26.586824035644554,26.586824035644554,0,,
2014-01-03,Bandung,22.60478580000895,25.703142420450888,24.954118982950888,0,,
2014-01-03,Kota Cimahi,23.87243791445338,24.166846847534202,24.092709477742517,0,,
2014-01-03,Kota Tasikmalaya,24.058534842185306,24.455827967325888,24.455827967325888,0,108.21555070145814,-7.397626364724259
2014-01-03,Tasikmalaya,24.441534763714415,26.484473800659202,26.168230311075888,0,108.29639907702891,-7.801868242578044
2014-01-03,Ciamis,24.99006240975215,26.570329920450888,26.513933436075888,0,108.37724745259966,-7.801868242578044
2014-01-03,Kota Banjar,25.34946559255015,25.541195805867517,25.541195805867517,0,,
2014-01-03,Bekasi,27.548168526732727,28.221615727742517,28.221615727742517,0,,
2014-01-03,Bogor,25.21544192610707,27.265642420450888,27.070574061075888,0,,
2014-01-03,Cianjur,24.16689658960135,26.593116378784202,26.151710128784202,0,,
2014-01-03,Cirebon,26.463093613059673,27.617611821492517,27.617611821492517,0,,
2014-01-03,Garut,23.34567107922112,26.212257003784202,25.995460128784202,0,,
2014-01-03,Indramayu,26.936203587889977,27.798682785034202,27.798682785034202,0,,
2014-01-03,Karawang,27.33153302846949,28.221615727742517,28.172787602742517,0,,
2014-01-03,Kota Bandung,24.003731878764427,24.789568201700888,24.789568201700888,0,,
2014-01-03,Kota Bogor,25.504840719446726,26.408057785034202,26.408057785034202,0,,
2014-01-03,Kota Cirebon,25.663716723595176,26.756934738159202,26.756934738159202,0,,
2014-01-03,Kota Sukabumi,24.0564793281306,25.310971196492517,24.363054529825888,0,,
2014-01-03,Kuningan,24.851531152400895,26.491391118367517,26.038673019409202,0,,
2014-01-03,Majalengka,25.05754571130966,27.540056482950888,26.819516118367517,0,,
2014-01-03,Purwakarta,25.484387948158606,27.137712732950888,26.829444503784202,0,,
2014-01-03,Subang,26.210487035698115,27.854346847534202,27.854346847534202,0,,
