date,Kabupaten,NDVI_8Day_Mean
2014-03-65,Ciamis,0.674935645005442
2014-03-65,Kota Banjar,0.6864689423129979
2014-03-65,Bekasi,0.4363227966557371
2014-03-65,Bogor,0.5918262881583575
2014-03-65,Cianjur,0.6653907060251228
2014-03-65,Cirebon,0.6624349521430988
2014-03-65,Garut,0.6941393206710013
2014-03-65,Indramayu,0.5784090687943785
2014-03-65,Karawang,0.4809837081458372
2014-03-65,Kota Bandung,0.38287273383787057
2014-03-65,Kota Bogor,0.509725463870932
2014-03-65,Kota Cirebon,0.5037123631277195
2014-03-65,Kota Sukabumi,0.5616469645973382
2014-03-65,Kuningan,0.7080228425295254
2014-03-65,Majalengka,0.6927612819713196
2014-03-65,Purwakarta,0.6300381448985802
2014-03-65,Subang,0.5870531749484463
2014-03-65,Sukabumi,0.722709836940423
2014-03-65,Sumedang,0.68733075314936
2014-03-65,Kota Bekasi,0.3568975999344764
2014-03-65,Kota Depok,0.5342481159747292
2014-03-73,Bandung,0.5690142230841443
2014-03-73,Kota Cimahi,0.28777904915074876
2014-03-73,Kota Tasikmalaya,0.5532671730662829
2014-03-73,Tasikmalaya,0.6305990447780401
2014-03-73,Ciamis,0.60522778936031
2014-03-73,Kota Banjar,0.7546254624493797
2014-03-73,Bekasi,0.3401365706481725
2014-03-73,Bogor,0.5181096399133608
2014-03-73,Cianjur,0.6465186816438954
2014-03-73,Cirebon,0.6000356979636488
2014-03-73,Garut,0.6358126881690715
2014-03-73,Indramayu,0.553157873208241
2014-03-73,Karawang,0.3665833957916707
2014-03-73,Kota Bandung,0.38173367419365856
2014-03-73,Kota Bogor,0.3801586282878845
2014-03-73,Kota Cirebon,0.38617876033161663
2014-03-73,Kota Sukabumi,0.5994397316585155
2014-03-73,Kuningan,0.5902499529779257
2014-03-73,Majalengka,0.5686660524302023
2014-03-73,Purwakarta,0.582274676269607
2014-03-73,Subang,0.5495331412061836
2014-03-73,Sukabumi,0.6643779451429547
2014-03-73,Sumedang,0.6537265371480153
2014-03-73,Kota Bekasi,0.23029551963752884
2014-03-73,Kota Depok,0.41754663476039533
2014-03-81,Bandung,0.49150894887352664
2014-03-81,Kota Cimahi,0.30966358318094467
2014-03-81,Kota Tasikmalaya,0.6511421027984595
2014-03-81,Tasikmalaya,0.7620950247945845
2014-03-81,Ciamis,0.7600006242571062
2014-03-81,Kota Banjar,0.7119377093667653
2014-03-81,Bekasi,0.44931028601409223
2014-03-81,Bogor,0.5749053454822589
2014-03-81,Cianjur,0.6210937730939468
